Area Name,Employment,Employment percent relative standard error,Hourly mean wage,Annual mean wage,Wage percent relative standard error,Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage,Annual 25th percentile wage,Annual median wage,Annual 75th percentile wage,Annual 90th percentile wage,"Employment per 1,000 jobs",Location Quotient
Minnesota,1320,7.8,51.03,106130,1,36.17,38.54,48.68,61.45,72.96,75230,80150,101250,127810,151760,0.482,0.64
Mississippi,140,12.5,39.06,81240,8.2,17.74,22.71,36.62,47.52,62.36,36900,47250,76170,98850,129710,0.13,0.17
Missouri,2630,8.2,43.06,89570,1.9,23.67,30.18,38.38,49.3,62.19,49230,62780,79830,102550,129340,0.964,1.28
Montana,50,47.6,37.42,77830,15.1,22.78,22.78,36.24,49.21,60.98,47370,47370,75370,102350,126840,0.099,0.13
Nebraska,800,22.5,38.75,80590,5.6,22.72,28.67,38.55,49.08,57.27,47260,59620,80180,102090,119130,0.835,1.11
Nevada,430,14,46.97,97710,4.8,37.26,37.73,38.39,49.08,75.48,77500,78480,79860,102090,157000,0.335,0.45
New Hampshire,310,9.1,46.2,96100,3,28.82,32.41,44.13,57.93,63.06,59950,67410,91790,120500,131170,0.491,0.65
New Jersey,2840,16,57.81,120240,2.6,36.17,47.82,61.11,62.14,78.48,75230,99460,127110,129240,163230,0.737,0.98
New Mexico,180,11,38.6,80290,7.6,17.99,23.57,30.32,47.62,60.95,37410,49030,63060,99040,126780,0.227,0.3
New York,10050,6.2,58.91,122540,2.9,27.56,38.17,58.58,78.26,96,57320,79390,121850,162770,199680,1.159,1.54
North Carolina,5050,12.2,54.8,113980,2.4,29.28,38.54,49.91,63.01,80.68,60890,80150,103810,131050,167810,1.143,1.52
North Dakota,30,26.8,45.31,94230,3.9,30.08,30.89,39.44,58.29,63.15,62560,64260,82040,121240,131360,0.077,0.1
Ohio,3320,5.3,42.22,87820,1.5,23.43,30.22,38.6,49.23,62.04,48730,62860,80290,102410,129040,0.639,0.85
Oklahoma,1140,3.2,38.48,80040,0.9,23.13,28.27,36.05,48.64,62.85,48100,58800,74980,101170,130730,0.729,0.97
Oregon,1280,7.6,53.48,111240,2.8,27.79,37.42,49.06,62.23,78.26,57790,77830,102040,129440,162770,0.7,0.93
Pennsylvania,4310,7.7,44.6,92760,2.1,24.73,32.91,42.79,56.19,63.01,51430,68450,89010,116870,131060,0.772,1.03
Rhode Island,410,16.8,49.98,103950,0.9,36.17,38.01,48.52,61.11,62.16,75230,79050,100910,127110,129290,0.888,1.18
South Carolina,600,7.6,48.37,100620,3.2,28.83,37.23,47.62,57.25,72.79,59960,77440,99040,119070,151400,0.289,0.38
South Dakota,70,19.6,42.1,87560,5.2,23.43,30.22,38.6,49.33,62.85,48730,62860,80290,102600,130730,0.164,0.22
Tennessee,980,13.2,43.62,90720,3.4,28.57,30.39,38.39,49.08,62.24,59430,63220,79860,102080,129460,0.327,0.44
Texas,5850,7.8,54.98,114360,2,32.98,43.14,49.33,63,80.54,68590,89720,102600,131040,167520,0.479,0.64
Utah,1790,16.2,38.38,79830,4.4,18.93,28.6,37.38,47.62,60.95,39360,59480,77750,99040,126780,1.154,1.53
Vermont,150,29.9,55.88,116220,12.8,29.76,37.38,60.29,76.43,78.26,61890,77750,125390,158960,162770,0.535,0.71
Virginia,3650,9.4,55.59,115630,3.3,29.69,38.18,49.62,65.39,80.73,61750,79410,103210,136010,167930,0.974,1.29
Washington,2460,10.6,64.38,133900,3.7,38.75,48.73,62.29,78.33,95.45,80600,101350,129560,162930,198540,0.768,1.02
West Virginia,90,5.3,30.94,64360,3.4,22.28,22.28,29.67,30.21,48.46,46340,46340,61710,62840,100800,0.142,0.19
Wisconsin,1490,26.6,34.48,71710,16.1,14.54,18.18,36.14,46.91,51.25,30240,37810,75180,97580,106610,0.541,0.72
